,id,Scientific_Name,size,Size_category,Mass,Habitat,Habitat_Category,Migration,Trophic_Level__Feeding_Habits_,Min_Latitude,Max_Latitude,Centroid_Latitude,Centroid_Longitude,Range_Size,General_Describtion,species_status
13,3076,acanthiza iredalei,105.1,Small,6.04,Shrubland,Semi-open habitats,1,Carnivore,-38.86,-24.06,-31.22,128.95,987131.55,The slender-billed thornbill (Acanthiza iredalei) is a small bird native to Australia. It includes three sub-species:,extant
14,3640,acanthiza katherina,111.3,Small,7.2,Forest,Dense habitats,1,Carnivore,-19.07,-15.76,-17.76,144.85,58196.09,The mountain thornbill (Acanthiza katherina) is a species of bird in the family Acanthizidae. It is endemic to Australia.,Vulnerable
15,7414,acanthiza lineata,106.5,Small,6.85,Forest,Semi-open habitats,1,Omnivore,-39.24,-23.09,-32.16,147.50,1043817.35,"The striated thornbill (Acanthiza lineata) is a species of bird in the family Acanthizidae. It is endemic to Australia, where its natural habitat is subtropical or tropical dry forests.",extant
16,2656,acanthiza murina,110.0,Small,8.4,Forest,Dense habitats,1,Carnivore,-9.63,-3.38,-5.39,141.94,83142.29,The New Guinea thornbill or Papuan thornbill (Acanthiza murina) is a species of bird in the family Acanthizidae. It is found in the New Guinea Highlands.,Least Concern
17,7495,acanthiza nana,103.1,Small,6.19,Shrubland,Semi-open habitats,1,Carnivore,-39.14,-15.68,-29.95,146.15,2021416.13,"The yellow thornbill  (Acanthiza nana), formerly known as the little thornbill, is a tiny passerine bird endemic to the eastern coast of Australia.[3] While currently listed as Least Concern by the IUCN, the general consensus is that the population is decreasing.[1]",extant
18,8827,acanthiza pusilla,113.9,Small,7.62,Shrubland,Semi-open habitats,1,Carnivore,-43.64,-20.00,-32.24,147.72,1131818.69,"The brown thornbill (Acanthiza pusilla) is a passerine bird usually found in eastern and south-eastern Australia, including Tasmania.  It can grow up to 10 cm (3.9 in) long, and feeds on insects.[2]  It is brown, grey and white.[3] The species has five subspecies.",extant
19,6849,acanthiza reguloides,107.6,Small,7.7,Forest,Semi-open habitats,1,Carnivore,-39.14,-15.80,-29.59,146.67,1843422.30,"The buff-rumped thornbill (Acanthiza reguloides) is a small passerine bird species belonging to the genus 
Acanthiza, most of which are endemic to Australia.  Measuring 8–10 cm in length, this unassuming thornbill is characterised by its plain greenish brown upperparts and very pale-yellow underparts, with a distinctive buff coloured rump.  The tail has a broad, blackish band with a paler tip.  Adults possess white irises, whilst juveniles have dark eyes.[3]  The buff-rumped thornbill is one of 14 species within the genus Acanthiza genus, which are recognisable by their thin, pointed bill.[4]   Species are unique in their plumage and distribution.  Despite their shared name, the genus is not related to hummingbirds.",extant
20,2549,acanthiza robustirostris,110.1,Small,6.1,Woodland,Semi-open habitats,2,Carnivore,-30.40,-19.66,-25.85,127.45,2061848.42,"The slaty-backed thornbill (Acanthiza robustirostris) is a species of bird in the family Acanthizidae.
It is endemic to Australia.",Least Concern
21,5845,acanthiza uropygialis,108.1,Small,6.4,Woodland,Semi-open habitats,1,Carnivore,-38.05,-19.82,-28.24,134.00,4788831.67,"The chestnut-rumped thornbill (Acanthiza uropygialis) is a small passerine bird in the family Acanthizidae, endemic to Australia.",Least Concern
22,6434,acanthorhynchus superciliosus,135.5,Small,9.72,Shrubland,Semi-open habitats,1,Herbivore,-35.14,-28.90,-32.88,117.85,182218.54,"The western spinebill (Acanthorhynchus superciliosus) is a honeyeater found in the heath and woodland of south-western Australia. Ranging between 12–16 centimetres (4.7–6.3 in) long, it weighs around 10 grams (0.35 oz). It has a black head, gray back and wings, with a red band behind its neck and from its throat to its breast. Its curved bill is long and slender.",Least Concern
23,9305,acanthorhynchus tenuirostris,140.7,Small,10.44,Forest,Semi-open habitats,1,Omnivore,-43.64,-15.00,-33.06,147.62,763502.74,"The eastern spinebill (Acanthorhynchus tenuirostris) is a species of honeyeater found in south-eastern Australia in forest and woodland areas, as well as gardens in urban areas of Canberra, Sydney, Melbourne, Adelaide and Hobart. It is around 15 cm long, and has a distinctive black, white and chestnut plumage, a red eye, and a long downcurved bill.",Least Concern
24,5325,acanthornis magna,125.9,Small,10.18,Forest,Dense habitats,1,Carnivore,-43.64,-39.58,-41.92,146.39,45032.53,"The scrubtit (Acanthornis magna) is a species of bird in the thornbill family Acanthizidae. It is endemic to Tasmania and King Island in Australia. Its natural habitat is the temperate rainforest, Nothofagus beech forest and eucalypt woodland. It is a small species that resembles the Sericornis scrubwrens (with which it was once placed).",extant
25,5770,accipiter albogularis,466.2,Large,248.75,Forest,Dense habitats,2,Carnivore,-11.73,-4.02,-8.15,158.49,37461.21,The pied goshawk (Accipiter albogularis) is a species of bird of prey in the family Accipitridae. It is found on Bougainville Island and the Solomon Islands. Its natural habitats are subtropical or tropical moist lowland forest and subtropical or tropical moist montane forest.,extant
26,10399,accipiter badius,370.3,Large,131.15,Shrubland,Semi-open habitats,3,Carnivore,-29.47,46.39,8.23,44.98,22374973.00,The shikra (Accipiter badius) is a small bird of prey in the family Accipitridae found widely distributed in Asia and Africa where it is also called the little banded goshawk. The African forms may represent a separate species but have usually been considered as subspecies of the shikra. The shikra is very similar in appearance to other sparrowhawk species including the Chinese goshawk (Accipiter soloensis) and Eurasian sparrowhawk (Accipiter nisus). They have a sharp two note call and have the typical flap and glide flight. Their calls are imitated by drongos and the common hawk-cuckoo resembles it in plumage.,extant
27,8806,accipiter bicolor,474.0,Large,287.54,Woodland,Semi-open habitats,2,Carnivore,-55.72,23.73,-10.10,-59.96,14309701.27,"The bicolored hawk (Accipiter bicolor) is a species of bird of prey in the family Accipitridae. It is found in forest, woodland, second growth, plantations, and wooded savanna in southeastern Mexico, Central America, and northern and central South America (as far south as northern Argentina).[3] Though generally uncommon, it is the most common species of Accipiter in most of its range, but it does not occur at altitudes above 2,700 metres (8,900 ft) such as the highest parts of the Andes.[4]",Least Concern
28,4654,accipiter brachyurus,404.2,Large,142.0,Forest,Dense habitats,2,Carnivore,-6.31,-4.08,-5.45,150.68,35580.71,"The New Britain sparrowhawk (Accipiter brachyurus) is a threatened species of bird of prey. It is endemic to two Papua New Guinea islands, New Britain and New Ireland. Even in 1934 Ernst Mayr, in his survey of mountain bird life during the Whitney South Sea Expedition, found the New Britain sparrowhawk to be very rare.[2]",Vulnerable
29,9713,accipiter brevipes,417.5,Large,186.48,Forest,Dense habitats,3,Carnivore,31.19,55.86,45.24,45.33,2936751.80,"The Levant sparrowhawk (Accipiter brevipes) is a small bird of prey. It measures 32–38 cm (13–15 in) in length with a wingspan of 65–75 cm (26–30 in). The female is larger than the male, but the difference is not as marked as with Eurasian sparrowhawk. The adult male is blue-grey above, with dark wingtips, and barred reddish below.",extant
30,5087,accipiter butleri,341.7,Large,122.0,Forest,Dense habitats,1,Carnivore,7.87,9.26,8.42,93.17,327.84,"The Nicobar sparrowhawk (Accipiter butleri) is a species of bird of prey in the family Accipitridae. It is endemic to the Nicobar Islands of India. There are two subspecies, the nominate race which is found on Car Nicobar in the north of the archipelago, and A. b. obsoletus, from Katchal and Camorta in the central part of the Nicobars. A museum specimen originally attributed to this species from the island of Great Nicobar was later found to be a misidentified Besra.[3]",extant
31,5036,accipiter castanilius,351.5,Large,157.51,Forest,Dense habitats,2,Carnivore,-10.36,10.12,0.71,18.29,2096401.63,The chestnut-flanked sparrowhawk (Accipiter castanilius) is a small west African species of sparrowhawk in the family Accipitridae.,extant
32,9230,accipiter cirrocephalus,428.7,Large,165.73,Forest,Dense habitats,2,Carnivore,-43.64,0.04,-23.36,137.81,5488639.45,"The collared sparrowhawk (Accipiter cirrocephalus) is a small, slim bird of prey in the family Accipitridae  found in Australia, New Guinea and nearby smaller islands. As its name implies the collared sparrowhawk is a specialist in hunting small birds. It is characterised by its slight brow ridges and slender feet. The last segment of their middle toe projects beyond the claws of the other toes.[3]",extant
33,5534,accipiter collaris,334.5,Medium,97.8,Forest,Dense habitats,2,Carnivore,-13.20,11.25,2.47,-75.57,253265.36,"The semicollared hawk (Microspizias collaris) is a rare bird of prey species in the family Accipitridae. It is found in Colombia, Ecuador, Peru, and Venezuela. Its natural habitat is subtropical or tropical moist montane forests. It is potentially being affected by habitat loss.",extant
34,10449,accipiter cooperii,491.6,Large,429.67,Woodland,Semi-open habitats,3,Carnivore,23.28,53.31,41.25,-100.49,8393137.06,"Cooper's hawk (Accipiter cooperii) is a medium-sized hawk native to the North American continent and found from southern Canada to Mexico.[2] This species is a member of the genus Accipiter, sometimes referred to as true hawks, which are famously agile, relatively small hawks common to wooded habitats around the world and also the most diverse of all diurnal raptor genera.[2] As in many birds of prey, the male is smaller than the female.[3] The birds found east of the Mississippi River tend to be larger on average than the birds found to the west.[4] It is easily confused with the smaller but similar sharp-shinned hawk. (A. striatus)",Not Evaluated
35,2770,accipiter erythrauchen,405.5,Large,156.0,Forest,Dense habitats,1,Carnivore,-3.91,2.65,-1.32,128.19,48150.32,The rufous-necked sparrowhawk (Accipiter erythrauchen) is a species of bird of prey in the family Accipitridae. It is endemic to the Maluku Islands of Indonesia. Its natural habitats are subtropical or tropical moist lowland forest and subtropical or tropical moist montane forest.,extant
36,3888,accipiter erythropus,302.0,Medium,111.2,Forest,Dense habitats,1,Carnivore,-9.36,14.73,3.48,10.44,3904812.09,"The red-thighed sparrowhawk (Accipiter erythropus), alternatively known as the red-legged sparrowhawk or western little sparrowhawk, is a species of sparrowhawk in the family Accipitridae from western and northern central Africa.",extant
37,8933,accipiter fasciatus,547.8,Large,358.66,Forest,Dense habitats,1,Carnivore,-43.64,-1.70,-24.45,134.95,8180196.71,The brown goshawk (Accipiter fasciatus) is a medium-sized bird of prey in the family Accipitridae found in Australia and surrounding islands.[2],extant
38,5725,accipiter francesiae,331.4,Medium,136.82,Forest,Dense habitats,1,Carnivore,-25.61,-11.36,-19.49,46.67,519468.81,"Frances's sparrowhawk (Accipiter francesiae) is a small bird of prey. The nominate subspecies, A. f. francesiae, is endemic to Madagascar, and the other subspecies are found in the Comoro Islands. The  Anjouan sparrowhawk (Accipiter francesiae pusillus), also known as the Anjouan Island sparrowhawk, Ndzuwani goshawk or Joanna Island goshawk, was thought to be extinct until searches in the 1980s and in 2005 confirmed that it is still extant.",extant
39,10936,accipiter gentilis,646.0,Large,866.04,Forest,Dense habitats,2,Carnivore,17.10,70.39,54.91,19.06,31775270.74,,extant
40,5135,accipiter griseiceps,380.4,Large,251.76,Forest,Dense habitats,1,Carnivore,-5.66,1.88,-1.96,121.18,140604.94,"The Sulawesi goshawk (Accipiter griseiceps) is a species of bird of prey in the family Accipitridae.  It is endemic to Sulawesi, Indonesia. Its natural habitats are subtropical or tropical moist lowland forest and subtropical or tropical moist montane forest.",Not Evaluated
41,9596,accipiter gularis,312.6,Medium,120.66,Forest,Dense habitats,3,Carnivore,24.25,59.00,49.07,117.11,4785704.92,"The Japanese sparrowhawk (Accipiter gularis) is a bird of prey in the family Accipitridae which also includes many other diurnal raptors such as eagles, buzzards and harriers. The bird is known by many alternative names such as the Japanese lesser, Asiatic, or Eastern sparrowhawk.[3] This species is a small raptor with broader and rounder wings and a shorter tail.[4] Its total length measures 23–30 centimetres (9.1–11.8 in). It has a dark back and whitish underside with brown-grey barring and red-brown colouring on the sides in males, and with heavier brown barring on the abdomen in females. Both sexes have a stripe across the throat, but its more obvious in the female. Is it typically identified by its appearance, but occasionally produces a chattering kiki-kik-kik... sound. This species generally breeds in parts of Russia, Korea, Japan, and China. There are three subspecies of Japanese sparrowhawk that differ by distribution and appearance. The species is globally listed as least concern, although it is listed as endangered in Japan and protected in China.",Least Concern
42,6681,accipiter gundlachi,522.3,Large,675.0,Forest,Dense habitats,1,Carnivore,19.82,23.16,21.62,-79.36,33511.43,Gundlach's hawk (Accipiter gundlachi) is a species of bird of prey in the family Accipitridae. It is one of 21 endemic bird species of Cuba. The common name and Latin binomial commemorate the German-Cuban ornithologist  Juan Cristobal Christoff Gundlach (1810–1896).[3] It is threatened by habitat loss and human persecution.,Endangered
43,4731,accipiter haplochrous,441.7,Large,198.41,Forest,Dense habitats,1,Carnivore,-22.40,-20.09,-21.33,165.48,16389.59,The white-bellied goshawk (Accipiter haplochrous) is a species of bird of prey in the family Accipitridae. It is endemic to New Caledonia. The species is also known as the New Caledonia goshawk or New Caledonia sparrowhawk.,Near Threatened
44,2529,accipiter henicogrammus,485.3,Large,358.7,Forest,Dense habitats,1,Carnivore,-0.92,2.65,0.88,128.01,22781.85,"The Moluccan goshawk or Halmaheran goshawk (Accipiter henicogrammus) is a species of bird of prey in the family Accipitridae. It is endemic to Halmahera, Indonesia. Its natural habitats are subtropical or tropical moist lowland forest and subtropical or tropical moist montane forest.",Near Threatened
45,4464,accipiter henstii,610.5,Large,1050.0,Forest,Dense habitats,1,Carnivore,-25.20,-11.95,-18.72,46.85,434639.70,"Henst's goshawk (Accipiter henstii) is a species a bird of prey in the family Accipitridae. It is a large, diurnal bird endemic to the island of Madagascar. It is an obligate forest species that occurs at very low densities on the island and is rarely seen. It can only occupy the primary and secondary forests found within the island. Its natural habitats are subtropical or tropical dry forest, subtropical or tropical moist lowland forest, subtropical or tropical moist montane forest, and plantations.",Vulnerable
46,5609,accipiter hiogaster,384.8,Large,326.06,Forest,Dense habitats,1,Carnivore,-11.66,2.65,-5.26,141.22,794517.61,"The variable goshawk (Accipiter hiogaster) is a bird of prey native to Indonesia, Papua New Guinea and the Solomon Islands. It was recently elevated to species status, and was previously lumped together with the grey goshawk.",extant
47,3280,accipiter imitator,410.6,Large,222.49,Forest,Dense habitats,1,Carnivore,-8.58,-5.41,-6.76,156.47,10050.21,"The imitator goshawk or imitator sparrowhawk (Accipiter imitator) is a species of bird of prey in the family Accipitridae. It is found on the islands of Bougainville, Choiseul and Santa Isabel in the Solomon Islands archipelago. Its natural habitats are subtropical or tropical moist lowland forest and subtropical or tropical moist montane forest.",Near Threatened
48,2419,accipiter luteoschistaceus,385.5,Large,214.0,Forest,Dense habitats,1,Carnivore,-6.31,-4.19,-5.50,150.45,28814.74,"The slaty-mantled goshawk (Accipiter luteoschistaceus), also known as the slaty-mantled sparrowhawk or slaty-backed sparrowhawk, is a species of bird of prey in the family Accipitridae. It is endemic to the Bismarck Archipelago (Papua New Guinea). Its natural habitat is subtropical or tropical moist lowland forest. It is threatened by habitat loss.",Vulnerable
49,5226,accipiter madagascariensis,398.3,Large,180.41,Forest,Dense habitats,1,Carnivore,-25.61,-11.95,-19.43,46.69,476517.51,The Madagascar sparrowhawk (Accipiter madagascariensis) is a species of bird of prey in the family Accipitridae.,Not Evaluated
50,5505,accipiter melanochlamys,456.1,Large,265.0,Forest,Dense habitats,1,Carnivore,-10.07,-0.95,-5.31,141.87,115449.94,"The black-mantled goshawk (Accipiter melanochlamys) is a species of bird of prey in the family Accipitridae.
It is found in the highlands of New Guinea.
Its natural habitat is subtropical or tropical moist lowland forests.",extant
51,9180,accipiter melanoleucus,598.0,Large,698.99,Forest,Dense habitats,1,Carnivore,-34.84,18.84,-5.51,25.85,9067092.60,"The black sparrowhawk (Accipiter melanoleucus), sometimes known as the black goshawk or great sparrowhawk, is the largest species of True hawk in Africa.[3] It occurs mainly in forest and non-desert areas south of the Sahara, particularly where there are large trees suitable for nesting; favored habitat includes suburban and human-altered landscapes.[3] It preys predominantly on birds of moderate size, such as pigeons and doves, in suburban areas.[4]",extant
52,2968,accipiter meyerianus,584.9,Large,763.54,Forest,Dense habitats,1,Carnivore,-10.12,2.29,-4.70,141.36,269144.41,"Meyer's goshawk (Accipiter meyerianus) is a species of bird of prey in the family Accipitridae. It is found in the Moluccas, New Guinea, the Bismarck Archipelago and the Solomon Islands.
Its natural habitats are subtropical or tropical moist lowland forest and subtropical or tropical moist montane forest.",Least Concern
53,8017,accipiter minullus,296.9,Medium,87.43,Forest,Dense habitats,1,Carnivore,-34.84,17.80,-9.71,29.57,6794381.58,The little sparrowhawk (Accipiter minullus) is a species of Afrotropical bird of prey in the family Accipitridae. It is the smallest member of the genus Accipiter and forms a superspecies with the red-thighed sparrowhawk (Accipiter erythropus).,extant
54,3889,accipiter nanus,308.0,Medium,117.0,Forest,Dense habitats,1,Carnivore,-5.70,1.76,-1.08,121.34,110477.00,"The dwarf sparrowhawk (Accipiter nanus), also known as the small sparrowhawk, is a species of bird of prey in the family Accipitridae.",Least Concern
55,10920,accipiter nisus,416.5,Large,220.79,Forest,Dense habitats,2,Carnivore,26.90,70.53,54.67,77.29,23601609.31,,Least Concern
56,9097,accipiter novaehollandiae,514.5,Large,326.06,Forest,Dense habitats,1,Carnivore,-43.64,-10.51,-26.72,143.49,1807067.30,"The grey goshawk (Accipiter novaehollandiae) is a strongly built, medium-sized bird of prey in the family Accipitridae that is found in eastern and northern Australia. The white morph of this species is known as the white goshawk.",Least Concern
57,7004,accipiter ovampensis,426.8,Large,195.0,Shrubland,Semi-open habitats,1,Carnivore,-27.22,13.92,-8.53,23.37,7295779.86,"The Ovambo or Ovampo sparrowhawk, also known as Hilgert's sparrowhawk, (Accipiter ovampensis) is a species of sub-Saharan African bird of prey in the family Accipitridae. It takes its name from the Ovamboland in northern Namibia.",Least Concern
58,4378,accipiter poliocephalus,428.0,Large,214.76,Forest,Dense habitats,1,Carnivore,-11.66,0.04,-5.32,140.74,671500.51,"The grey-headed goshawk (Accipiter poliocephalus) is a lightly built, medium-sized bird of prey in the family Accipitridae.",Least Concern
59,7508,accipiter poliogaster,467.4,Large,315.0,Forest,Dense habitats,2,Carnivore,-30.38,6.82,-7.81,-60.09,7203530.62,The grey-bellied hawk or grey-bellied goshawk (Accipiter poliogaster) is a fairly large and rare species of forest-dwelling South American bird of prey in the family Accipitridae.,extant
60,3181,accipiter princeps,526.6,Large,214.8,Forest,Dense habitats,1,Carnivore,-6.11,-4.23,-5.35,151.04,11549.62,The New Britain goshawk (Accipiter princeps) is a bird of prey species in the family Accipitridae. It is endemic to Papua New Guinea.,Vulnerable
61,2634,accipiter rhodogaster,351.8,Large,172.71,Forest,Dense habitats,1,Carnivore,-5.70,1.76,-1.93,121.39,146036.85,"The vinous-breasted sparrowhawk (Accipiter rhodogaster) is a species of bird of prey in the family Accipitridae. It is endemic to the island of Sulawesi in Indonesia. Its natural habitats are subtropical or tropical moist lowland forest, subtropical or tropical mangrove forest, and subtropical or tropical moist montane forest.",extant
62,6208,accipiter rufitorques,422.8,Large,209.0,Forest,Dense habitats,1,Carnivore,-19.20,-16.15,-17.45,169.39,17581.12,"The Fiji goshawk (Accipiter rufitorques) is a species of bird of prey in the family Accipitridae. It was once considered to be the same species (conspecific) as the brown goshawk of Australia and New Caledonia. It is endemic to Fiji, where it occurs on the larger islands of Viti Levu, Vanua Levu, Taveuni, Kadavu, Gau and Ovalau.[2] It occupies a range of wooded habitats in Fiji, from natural rainforest to coconut plantations and urban gardens and parks.[3]",Least Concern
63,5693,accipiter rufiventris,438.6,Large,198.0,Forest,Dense habitats,1,Carnivore,-34.04,15.67,-7.01,32.60,756057.21,"The rufous-breasted sparrowhawk (Accipiter rufiventris), also known as the rufous-chested sparrowhawk and as the red-breasted sparrowhawk, is a species of bird of prey in the family Accipitridae. It is found in Angola, Democratic Republic of the Congo, Eritrea, Eswatini, Ethiopia, Kenya, Lesotho, Malawi, Mozambique, Rwanda, South Africa, South Sudan, Tanzania, Uganda, Zambia, and Zimbabwe.",extant
64,9096,accipiter soloensis,350.7,Large,164.77,Forest,Dense habitats,3,Carnivore,20.24,47.24,31.97,117.13,2375886.74,The Chinese sparrowhawk (Accipiter soloensis) is a bird of prey in the family Accipitridae.,Least Concern
65,10405,accipiter striatus,365.8,Large,130.59,Forest,Dense habitats,3,Carnivore,-34.98,69.38,34.35,-96.11,16375303.87,"The sharp-shinned hawk (Accipiter striatus) or Northern sharp-shinned hawk, commonly known as a sharpie,[2] is a small hawk, with males being the smallest hawks in the United States and Canada, but with the species averaging larger than some Neotropical species, such as the tiny hawk. The taxonomy is far from resolved, with some authorities considering the southern taxa to represent three separate species: white-breasted hawk (A. chionogaster), plain-breasted hawk (A. ventralis), and rufous-thighed hawk (A. erythronemius). The American Ornithological Society keeps all four variations conspecific.",extant
66,7438,accipiter superciliosus,288.4,Medium,96.38,Forest,Dense habitats,1,Carnivore,-28.11,14.61,-6.22,-60.98,8560355.56,"The tiny hawk (Microspizias superciliosus) is a small diurnal bird of prey found in or near forests, primarily humid, throughout much of the Neotropics. It is primarily a bird-eater, and is known to prey on hummingbirds.",extant
67,8862,accipiter tachiro,458.1,Large,290.2,Forest,Dense habitats,1,Carnivore,-34.84,4.53,-12.54,29.90,5174215.21,The African goshawk (Accipiter tachiro) is an African species of bird of prey in the genus Accipiter which is the type genus of the family Accipitridae.,Least Concern
68,5712,accipiter toussenelii,408.3,Large,249.29,Forest,Dense habitats,1,Carnivore,-6.06,17.41,3.51,15.99,4598131.33,The red-chested goshawk (Accipiter toussenelii) is a medium-size hawk of West Africa. It is often considered conspecific with the African goshawk.[3],extant
69,4661,accipiter trinotatus,339.9,Large,146.0,Forest,Dense habitats,1,Carnivore,-5.66,1.76,-1.81,121.37,120238.86,The spot-tailed sparrowhawk or spot-tailed goshawk (Accipiter trinotatus) is a species of bird of prey in the family Accipitridae. It is endemic to Sulawesi in Indonesia. Its natural habitats are subtropical or tropical moist lowland forest and subtropical or tropical mangrove forest.,Least Concern
70,9966,accipiter trivirgatus,445.0,Large,265.04,Forest,Dense habitats,1,Carnivore,-8.85,31.08,13.91,101.71,3366430.69,"The crested goshawk (Accipiter trivirgatus) is a bird of prey from tropical Asia. It is related to other diurnal raptors such as eagles, buzzards (or buteos) and harriers, and thus placed in the family Accipitridae.[2]",extant
71,9400,accipiter virgatus,341.4,Large,116.99,Forest,Dense habitats,2,Carnivore,-8.98,35.61,22.08,101.25,4398429.71,"The besra  (Accipiter virgatus), also called the besra sparrowhawk, is a bird of prey in the family Accipitridae.",extant
72,9549,aceros nipalensis,964.1,Large,2385.0,Forest,Dense habitats,1,Herbivore,15.38,29.27,24.08,97.27,284350.69,"The rufous-necked hornbill (Aceros nipalensis) is a species of hornbill in Bhutan, northeastern India, especially in Arunachal Pradesh, Indian Subcontinent and Southeast Asia. It is locally extinct in Nepal due to hunting and significant loss of habitat.[1] There are less than 10,000 adults left in the wild.[3] With a length of about 117 cm (46 in),[3] it is among the largest Bucerotine hornbills. The underparts, neck and head are rich rufous in the male, but black in the female.",Vulnerable
73,8510,achaetops pycnopygius,171.7,Medium,28.3,Rock,Open habitats,1,Carnivore,-24.27,-8.76,-18.60,15.07,423641.18,"The rockrunner (Achaetops pycnopygius), also known as the  Damara rock-jumper, is a species of African warbler, formerly placed in the family Sylviidae.[2] It is the only member of the monotypic genus Achaetops.[3]
It is found in Angola and Namibia.[1]",extant
